id,sex,gender,age,weight,wght18,height,phys,aspirin,vitc,vite,multivit,calcium,blood,chol,health,smoke100,sm100age,cursmoke,wtchange,exhrs,exintens,degree,program,mstatus,mage,agepub,minschool,travel,techhrs,wkdaysleep,wkendsleep,bmicat
57,2,2,29,123,117,64,1,1,1,1,2,1,1,1,3,No,,3,1,2,2,4,3,2,,29,15,1,10,8,9,1
244,2,2,23,106,115,62,3,,,,2,,,,5,No,,3,3,2,2,4,6,2,,18,30,3,5,7,8,1
50,2,2,34,170,145,70,2,1,1,1,1,1,1,1,4,No,,3,1,2,2,4,1,2,,27,15,2,10,5,7,1
203,2,2,22,150,125,66,3,2,1,1,1,1,1,1,5,No,,3,2,3,3,4,2,2,,20,30,3,8,8,8,1
338,2,2,22,120,110,61,2,1,1,1,1,1,1,1,5,No,,3,1,3,3,4,6,2,,19,30,3,5,7,9,1
321,2,2,26,125,120,62,2,1,1,1,1,1,1,1,3,No,,3,2,2,3,4,3,2,,21,14,2,6,7,8,1
300,2,2,27,132,128,63,1,1,1,1,1,1,1,1,5,No,,3,2,3,3,4,2,2,,26,12,1,10,8,8,1
73,2,2,22,151,150,63,1,1,1,1,2,1,1,,1,No,,3,2,3,4,4,6,2,,21,45,3,8,7,10,2
327,2,2,26,175,150,72,1,,2,,,,,,3,No,,3,2,2,2,4,3,2,,20,10,2,6,7,9,1
146,1,1,26,160,150,69,2,1,1,1,1,1,1,1,5,No,,3,1,3,3,4,3,2,,21,20,1,9,7,8,1
222,2,2,29,111,108,68,1,1,1,1,1,1,1,1,5,No,,3,1,3,4,4,7,2,,28,85,2,6,7,8,1
7,2,2,29,135,120,69,4,1,1,1,1,1,1,1,3,Yes,24,3,1,1,1,4,2,2,,25,15,2,10,8,9,1
294,1,1,27,168,155,70,2,1,1,1,1,1,1,1,1,No,,3,1,3,3,4,2,2,,22,15,2,8,8,10,1
359,1,1,32,210,180,72,3,1,1,1,1,1,1,1,4,No,,3,2,5,3,4,2,1,31,28,50,2,10,7,7,2
334,1,1,21,158,148,71,1,1,1,1,2,1,1,1,5,No,,3,2,3,3,4,2,2,,18,4,1,10,8,8,1
243,1,1,26,160,145,68,1,,2,,,,,,5,No,,3,1,2,3,4,3,2,,24,20,4,4,7,9,1
181,2,2,25,137,140,66,1,1,1,1,1,1,1,1,1,No,,3,1,3,3,4,3,2,,22,15,1,13,8,9,1
76,2,2,24,110,108,60,1,,2,,2,,,,5,No,,3,2,2,3,4,6,2,,20,25,1,8,7,8,1
302,2,2,26,113,120,61,2,1,1,1,1,1,1,1,1,No,,3,1,4,4,4,3,2,,18,15,2,8,6,7,1
92,1,1,22,209,187,73,4,1,2,2,2,2,1,1,5,No,,2,2,3,2,4,2,2,,20,5,1,8,6,9,2
114,1,1,26,170,140,69,1,1,1,1,1,1,1,1,1,No,,3,2,2,3,4,3,2,,22,20,1,6,7,8,2
305,2,2,26,118,121,63,4,2,1,1,2,1,1,1,3,No,,3,1,2,2,4,3,2,,19,13,1,8,8,9,1
204,1,1,25,195,170,74,3,1,1,1,1,1,1,1,3,Yes,19,2,2,1,3,4,6,2,,24,30,1,4,8,6,2
185,1,1,26,125,120,66,1,1,1,1,1,1,1,1,1,No,,3,1,2,2,4,3,2,,23,20,1,5,8,9,1
